   1.0274000e+02   2.5123000e+01
   9.4169754e+01   3.1203384e+01
   0.0000000e+00   2.9589130e+03   2.9589130e+03
   1.0000000e+00   3.2196186e+03   2.1011400e+03
   2.0000000e+00   2.5629382e+03   1.3948762e+03
   3.0000000e+00   2.1110485e+03   1.6480122e+03
   4.0000000e+00   2.6999279e+03   2.2711123e+03
   5.0000000e+00   2.5991121e+03   2.4041935e+03
   6.0000000e+00   8.0327110e+02   1.4940567e+03
   7.0000000e+00  -1.2052084e+03  -1.5022990e+02
   8.0000000e+00  -6.7101189e+02  -8.6063930e+02
   9.0000000e+00   2.7140403e+03  -9.2779683e+02
   1.0000000e+01   5.2301391e+03  -8.3530243e+02
   1.1000000e+01   4.4291791e+03   1.9108337e+02
   1.2000000e+01   1.3390186e+03   1.1886520e+03
   1.3000000e+01  -1.7444295e+03   8.3714990e+02
   1.4000000e+01  -2.0341191e+03  -6.9729555e+02
   1.5000000e+01   1.5454894e+03  -1.8373130e+03
   1.6000000e+01   4.5073399e+03  -1.9671241e+03
   1.7000000e+01   1.9492080e+03  -2.0253531e+03
   1.8000000e+01  -2.2043439e+03  -1.3858802e+03
   1.9000000e+01  -2.2108415e+03  -3.7358730e+01
   2.0000000e+01   3.3787379e+02   2.1402100e+01
   2.1000000e+01   1.7328436e+03  -1.7204900e+03
   2.2000000e+01   1.1814951e+03  -3.1828186e+03
   2.3000000e+01   2.3244580e+02  -2.3542234e+03
   2.4000000e+01  -4.1294003e+02  -5.4734560e+02
   2.5000000e+01  -1.1721178e+03   1.2591920e+02
   2.6000000e+01  -1.2404722e+03  -1.3527050e+02
   2.7000000e+01  -9.6975107e+02  -2.8868000e+02
   2.8000000e+01  -1.4172805e+03   4.3590734e+02
   2.9000000e+01  -1.9406555e+03   1.4284139e+03
   3.0000000e+01  -1.9089526e+03   1.1179744e+03
   3.1000000e+01  -1.4582857e+03  -6.1136110e+02
   3.2000000e+01  -8.4198732e+02  -1.7553055e+03
   3.3000000e+01   1.8562308e+02  -1.3780477e+03
   3.4000000e+01   1.1435861e+03  -1.4404009e+03
   3.5000000e+01   8.3489471e+02  -2.4385227e+03
   3.6000000e+01  -5.2409620e+02  -3.2592671e+03
   3.7000000e+01  -2.2005732e+03  -3.7999165e+03
   3.8000000e+01  -3.3474629e+03  -3.5855096e+03
   3.9000000e+01  -3.0468610e+03  -2.7499540e+03
   4.0000000e+01  -1.3334378e+03  -1.8528711e+03
   4.1000000e+01   2.8001090e+02  -9.1894163e+02
   4.2000000e+01  -3.0991550e+02  -6.7572924e+02
   4.3000000e+01  -1.6410150e+03  -1.5558082e+03
   4.4000000e+01  -7.3637277e+02  -2.8471508e+03
   4.5000000e+01   7.8574290e+02  -2.9938828e+03
   4.6000000e+01   1.0201084e+02  -1.5494914e+03
   4.7000000e+01  -1.0428181e+03  -1.6826620e+02
   4.8000000e+01   4.6015031e+02  -2.5586120e+02
   4.9000000e+01   2.5949541e+03  -1.4618109e+03
   5.0000000e+01   1.8107482e+03  -1.5620843e+03
   5.1000000e+01  -8.4576018e+02  -5.2150240e+01
   5.2000000e+01  -2.3396011e+03   6.2796741e+02
   5.3000000e+01  -4.7121520e+02  -1.2319610e+02
   5.4000000e+01   3.2625743e+03  -8.1014759e+02
   5.5000000e+01   4.3393929e+03   1.4759670e+02
   5.6000000e+01   1.6972268e+03   2.7720522e+03
   5.7000000e+01  -2.5727925e+03   4.1397669e+03
   5.8000000e+01  -5.3352941e+03   1.9844925e+03
   5.9000000e+01  -3.8345588e+03  -1.4504297e+03
   6.0000000e+01  -1.1685525e+02  -1.5976188e+03
   6.1000000e+01   9.3913925e+02   1.2693658e+03
   6.2000000e+01  -1.8129380e+03   2.8863154e+03
   6.3000000e+01  -4.5880563e+03   2.8519836e+03
   6.4000000e+01  -4.4280341e+03   2.6899876e+03
   6.5000000e+01  -2.6107969e+03   2.6851449e+03
   6.6000000e+01  -1.2408098e+03   3.4006280e+03
   6.7000000e+01  -1.0316258e+03   4.2614299e+03
   6.8000000e+01  -1.2298035e+03   3.8742128e+03
   6.9000000e+01  -7.8050758e+02   2.2869364e+03
   7.0000000e+01   2.6473570e+01   9.3479680e+02
   7.1000000e+01   2.6701675e+02   4.5689690e+02
   7.2000000e+01  -5.6124389e+02  -3.0311100e+00
   7.3000000e+01  -1.7410864e+03  -9.5653839e+02
   7.4000000e+01  -2.1396587e+03  -1.8785256e+03
   7.5000000e+01  -1.3575719e+03  -1.5226151e+03
   7.6000000e+01   3.9167155e+02   1.1154500e+02
   7.7000000e+01   1.8250234e+03   1.4474539e+03
   7.8000000e+01   1.8848374e+03   1.5416827e+03
   7.9000000e+01   1.2198889e+03   7.1560187e+02
   8.0000000e+01   1.1290532e+03   1.2430805e+03
   8.1000000e+01   1.7267183e+03   3.7494477e+03
   8.2000000e+01   2.2316910e+03   5.0346960e+03
   8.3000000e+01   2.4525577e+03   4.1300054e+03
   8.4000000e+01   1.8821588e+03   2.7922949e+03
   8.5000000e+01   9.5157640e+02   1.6463412e+03
   8.6000000e+01   1.4313660e+03   5.4340780e+02
   8.7000000e+01   2.8484035e+03  -3.7220841e+02
   8.8000000e+01   3.1103037e+03  -6.3195014e+02
   8.9000000e+01   1.1702121e+03  -4.8167529e+02
   9.0000000e+01  -6.0430633e+02  -5.1772108e+02
   9.1000000e+01   1.0568362e+03  -7.1642282e+02
   9.2000000e+01   4.0485879e+03  -5.9546883e+02
   9.3000000e+01   4.9436694e+03  -9.8147110e+01
   9.4000000e+01   3.7540174e+03  -1.3698221e+02
   9.5000000e+01   1.8159231e+03  -2.6255815e+02
   9.6000000e+01   4.6984369e+02   4.3753550e+02
   9.7000000e+01   8.7346824e+01   6.4578180e+02
   9.8000000e+01   9.2620752e+02  -6.7488120e+02
   9.9000000e+01   2.0854704e+03  -2.2036937e+03
   1.0000000e+02   1.8657549e+03  -1.7590432e+03
   1.0100000e+02   1.3472147e+03  -1.1446997e+02
   1.0200000e+02   8.8995393e+02  -3.9829876e+02
   1.0300000e+02  -2.5088690e+02  -2.6802685e+03
   1.0400000e+02  -3.5216920e+02  -4.4903031e+03
   1.0500000e+02   1.0430491e+03  -4.1052758e+03
   1.0600000e+02   1.5343036e+03  -2.2672547e+03
   1.0700000e+02   1.8987412e+02  -1.1286465e+03
   1.0800000e+02  -6.5305370e+02  -8.4935923e+02
   1.0900000e+02   1.6448000e+02  -1.1915790e+03
   1.1000000e+02   7.4143260e+02  -2.1949840e+03
   1.1100000e+02   4.6956230e+02  -2.1490338e+03
   1.1200000e+02   1.4827881e+02  -3.8522394e+02
   1.1300000e+02   1.6647531e+02   6.3967345e+02
   1.1400000e+02   4.5897190e+02  -1.0002191e+03
   1.1500000e+02   3.6115730e+02  -2.8696593e+03
   1.1600000e+02   1.8266520e+02  -1.9936059e+03
   1.1700000e+02   5.3043518e+02   2.0788500e+01
   1.1800000e+02   5.9748703e+02  -8.8356000e+00
   1.1900000e+02  -7.4412940e+02  -2.4259869e+03
   1.2000000e+02  -2.9792558e+03  -4.5441480e+03
   1.2100000e+02  -3.6613243e+03  -4.0773967e+03
   1.2200000e+02  -2.0805072e+03  -1.9246384e+03
   1.2300000e+02  -9.1524336e+02  -6.1973480e+02
   1.2400000e+02  -1.8868407e+03  -1.0117805e+03
   1.2500000e+02  -3.4532272e+03  -9.3029836e+02
   1.2600000e+02  -4.0739743e+03   5.3306518e+02
   1.2700000e+02  -4.0658139e+03   1.3085737e+03
   1.2800000e+02  -4.1932383e+03   9.9970905e+02
   1.2900000e+02  -4.6366753e+03   8.5237678e+02
   1.3000000e+02  -4.0673401e+03   1.0518784e+03
   1.3100000e+02  -2.1630658e+03   7.0730748e+02
   1.3200000e+02  -1.3309758e+03  -1.1182124e+02
   1.3300000e+02  -2.0384258e+03   2.8741867e+02
   1.3400000e+02  -2.3353807e+03   1.4816327e+03
   1.3500000e+02  -1.3208666e+03   1.5512786e+03
   1.3600000e+02  -2.5227540e+02   7.0737739e+02
   1.3700000e+02  -5.8745149e+02   1.9741358e+02
   1.3800000e+02  -8.1977744e+02   7.7371432e+02
   1.3900000e+02  -2.6031285e+02   2.0198070e+03
   1.4000000e+02  -3.7223322e+02   2.4654644e+03
   1.4100000e+02  -9.6346570e+02   1.4200760e+03
   1.4200000e+02  -2.1694617e+03   3.6209970e+02
   1.4300000e+02  -3.6906471e+03   7.7117412e+02
   1.4400000e+02  -3.7415545e+03   1.3436821e+03
   1.4500000e+02  -2.1787360e+03   5.3621466e+02
   1.4600000e+02   9.5123085e+01  -1.0510032e+03
   1.4700000e+02   1.7783546e+03  -1.5262366e+03
   1.4800000e+02   2.0055681e+03  -2.1153919e+02
   1.4900000e+02   1.7071650e+03   6.2952497e+02
   1.5000000e+02   2.5178458e+03   2.9571269e+02
   1.5100000e+02   4.5160076e+03   9.0150400e+02
   1.5200000e+02   5.0163143e+03   2.5814492e+03
   1.5300000e+02   2.6485242e+03   3.7252649e+03
   1.5400000e+02  -5.2552700e+01   3.8478749e+03
   1.5500000e+02  -4.6884300e+01   3.6524752e+03
   1.5600000e+02   2.1707897e+03   3.0667457e+03
