   1.0274000e+02   2.5123000e+01
   9.6698771e+01   3.0807133e+01
   0.0000000e+00  -2.0866505e+03  -2.0866505e+03
   1.0000000e+00   1.2138547e+04  -4.8102969e+03
   2.0000000e+00   1.8586934e+04  -9.3070000e+00
   3.0000000e+00  -4.5817203e+03  -4.2641039e+03
   4.0000000e+00  -3.0142048e+04  -1.1118545e+04
   5.0000000e+00  -9.7652659e+03  -3.1850015e+03
   6.0000000e+00   2.4390671e+04   1.0327862e+04
   7.0000000e+00   1.6496313e+04   9.3331930e+03
   8.0000000e+00  -1.3082968e+04  -4.6097560e+02
   9.0000000e+00  -1.8725357e+04  -1.0046620e+03
   1.0000000e+01  -3.9375508e+03   8.8662048e+02
   1.1000000e+01  -1.3248300e+01  -5.6196441e+03
   1.2000000e+01  -4.3719751e+03  -1.1727321e+04
   1.3000000e+01  -1.2591281e+03  -4.7903491e+03
   1.4000000e+01   4.4347596e+03   1.1763056e+04
   1.5000000e+01   8.9228903e+03   1.8784207e+04
   1.6000000e+01   5.0557453e+03   1.3233358e+04
   1.7000000e+01  -7.1067128e+03   4.4033400e+02
   1.8000000e+01  -8.5902109e+03  -1.4631556e+04
   1.9000000e+01   1.0601248e+03  -7.7997961e+03
   2.0000000e+01  -5.1661426e+02   1.8539190e+04
   2.1000000e+01  -1.2845729e+04   2.3734745e+04
   2.2000000e+01  -4.0699285e+03  -2.7650862e+03
   2.3000000e+01   2.3030270e+04  -2.4170101e+04
   2.4000000e+01   2.3626247e+04  -1.3351418e+04
   2.5000000e+01  -9.9703571e+03   6.5090516e+03
   2.6000000e+01  -3.4032169e+04   9.3448118e+03
   2.7000000e+01  -1.5807188e+04   2.9220607e+03
   2.8000000e+01   1.7432288e+04  -4.1209115e+03
   2.9000000e+01   2.6071392e+04  -1.1256375e+04
   3.0000000e+01   1.4087533e+04  -1.0025668e+04
   3.1000000e+01  -6.8804421e+03   4.9333742e+03
   3.2000000e+01  -2.2894294e+04   1.4674602e+04
   3.3000000e+01  -1.7107029e+04   4.4117171e+03
   3.4000000e+01   7.8338900e+02  -8.6954273e+03
   3.5000000e+01   1.3320339e+04  -8.4566782e+03
   3.6000000e+01   9.4983071e+03   5.5638963e+03
   3.7000000e+01  -4.5699881e+03   1.6532722e+04
   3.8000000e+01  -1.0187720e+04   3.3397779e+03
   3.9000000e+01  -8.7355099e+03  -1.6269044e+04
   4.0000000e+01  -4.4092638e+03  -1.0516445e+04
   4.1000000e+01   6.4811231e+03   1.1893414e+04
   4.2000000e+01   1.2440111e+04   1.6388907e+04
   4.3000000e+01   3.8219293e+03  -2.8818374e+03
   4.4000000e+01  -2.0960445e+03  -1.6870898e+04
   4.5000000e+01   7.8625571e+03  -9.6583444e+03
   4.6000000e+01   1.5333315e+04   7.0468130e+03
   4.7000000e+01   6.6383903e+03   1.0406376e+04
   4.8000000e+01  -6.6126434e+03  -5.4865633e+03
   4.9000000e+01  -8.0467769e+03  -1.7865652e+04
   5.0000000e+01   5.0156435e+02  -1.2306764e+04
   5.1000000e+01   1.7720687e+03   3.9771284e+03
   5.2000000e+01  -3.5320860e+02   1.4652194e+04
   5.3000000e+01   4.0692921e+03   1.0942456e+04
   5.4000000e+01   4.7076757e+03   1.9596216e+03
   5.5000000e+01  -2.5734832e+03  -4.8415193e+03
   5.6000000e+01  -1.0808763e+04  -3.4182910e+03
   5.7000000e+01  -9.3334369e+03   5.4983118e+03
   5.8000000e+01   2.9928610e+03   9.8548577e+03
   5.9000000e+01   1.1848886e+04   8.9704124e+03
   6.0000000e+01   1.2342771e+04   3.3678986e+03
   6.1000000e+01   5.6487794e+03  -6.1520176e+03
   6.2000000e+01  -7.7318838e+03  -9.0209455e+03
   6.3000000e+01  -1.6324399e+04  -1.5060635e+03
   6.4000000e+01  -4.8627156e+03   5.6749843e+03
   6.5000000e+01   1.8248670e+04  -1.3595078e+03
   6.6000000e+01   2.0617934e+04  -1.2802725e+04
   6.7000000e+01  -9.8949710e+02  -8.9197591e+03
   6.8000000e+01  -1.8488389e+04   7.2054725e+03
   6.9000000e+01  -1.6753484e+04   1.6316377e+04
   7.0000000e+01   1.1723240e+03   2.3222605e+03
   7.1000000e+01   1.3109975e+04  -1.6401618e+04
   7.2000000e+01   8.2816010e+02  -1.0131980e+04
   7.3000000e+01  -1.6982545e+04   9.5455379e+03
   7.4000000e+01  -1.1621824e+04   1.5264399e+04
   7.5000000e+01   1.1778244e+04   3.0112414e+03
   7.6000000e+01   2.4126648e+04  -6.8124098e+03
   7.7000000e+01   1.4883376e+04  -3.1137819e+03
   7.8000000e+01  -5.1313956e+03   6.1925632e+02
   7.9000000e+01  -1.5755029e+04  -1.4607318e+03
   8.0000000e+01  -5.2955370e+03  -5.8924106e+03
   8.1000000e+01   7.2769243e+03  -6.4773313e+03
   8.2000000e+01   8.0028979e+03  -3.8768490e+02
   8.3000000e+01   5.3250004e+02   2.7601302e+03
   8.4000000e+01  -1.2321695e+04   2.2617859e+03
   8.5000000e+01  -1.5159142e+04  -7.3428051e+02
   8.6000000e+01  -3.1407532e+03  -7.7464418e+03
   8.7000000e+01   5.6323658e+03  -8.7933636e+03
   8.8000000e+01   1.9475386e+03  -2.5763654e+03
   8.9000000e+01  -6.6987247e+03   1.2907920e+03
   9.0000000e+01  -5.7540241e+03   8.7012444e+02
   9.1000000e+01   7.3195657e+03   2.1367000e+03
   9.2000000e+01   1.5587365e+04   5.2008565e+03
   9.3000000e+01   5.6692670e+03   1.6833686e+03
   9.4000000e+01  -1.1394733e+04  -6.3753222e+03
   9.5000000e+01  -1.6431580e+04  -7.4915608e+03
   9.6000000e+01  -7.0738052e+03   6.9320134e+02
   9.7000000e+01   7.7367003e+03   7.5236210e+03
   9.8000000e+01   1.0084475e+04   6.5850253e+03
   9.9000000e+01  -7.3630654e+03   2.9665612e+03
   1.0000000e+02  -2.0633791e+04  -2.3563267e+03
   1.0100000e+02  -1.2919101e+04  -4.9618951e+03
   1.0200000e+02   2.9657523e+03   1.8951790e+03
   1.0300000e+02   8.5454152e+03   7.1073022e+03
   1.0400000e+02   3.5655432e+03   9.7962290e+02
   1.0500000e+02  -1.2656983e+03  -4.9982912e+03
   1.0600000e+02  -3.5764162e+03  -2.3846122e+02
   1.0700000e+02   2.8328857e+03   5.3772283e+03
   1.0800000e+02   1.4363908e+04   4.4744513e+03
   1.0900000e+02   1.1565559e+04   2.7625304e+03
   1.1000000e+02   8.2473406e+02   4.3604549e+02
   1.1100000e+02  -1.2030157e+03   9.9378987e+02
   1.1200000e+02  -1.8704914e+03   5.5458513e+03
   1.1300000e+02  -7.2279498e+03   2.9420641e+03
   1.1400000e+02  -3.0309497e+03  -4.5640087e+03
   1.1500000e+02   8.2666302e+03  -4.0126490e+03
   1.1600000e+02   2.9414299e+03   2.9316334e+03
   1.1700000e+02  -7.1412071e+03   2.6683935e+03
   1.1800000e+02   1.9439263e+02  -2.7115205e+03
   1.1900000e+02   8.9274192e+03  -1.5806570e+03
   1.2000000e+02   3.6468408e+03   1.1285969e+03
   1.2100000e+02  -7.3640610e+03   2.9944492e+03
   1.2200000e+02  -5.4641684e+03   5.2214764e+03
   1.2300000e+02   1.0588639e+04   3.1198478e+03
