   1.0274000e+02   2.5123000e+01
   9.3385779e+01   2.9072146e+01
   0.0000000e+00   4.9937449e+04   4.9937449e+04
   1.0000000e+00  -1.1145086e+04   4.8409230e+04
   2.0000000e+00  -9.2499622e+04   3.4028483e+04
   3.0000000e+00  -5.6244680e+04   3.3436258e+04
   4.0000000e+00   8.6631386e+04   2.6830121e+04
   5.0000000e+00   1.4828760e+05  -1.3831111e+04
   6.0000000e+00   5.6248389e+04  -7.2368374e+04
   7.0000000e+00  -6.0036991e+04  -7.1128100e+04
   8.0000000e+00  -7.1003795e+04   3.6979301e+04
   9.0000000e+00  -1.1980598e+04   1.3613384e+05
   1.0000000e+01   1.3594133e+04   7.9880666e+04
   1.1000000e+01   8.2473107e+03  -5.6845741e+04
   1.2000000e+01   3.2485599e+04  -8.6204184e+04
   1.3000000e+01   7.7076632e+04   1.2678358e+03
   1.4000000e+01   6.8907800e+04   5.8098778e+04
   1.5000000e+01  -8.0052885e+03   2.5386736e+04
   1.6000000e+01  -7.0214034e+04  -2.4143665e+04
   1.7000000e+01  -4.3622314e+04  -2.5754561e+04
   1.8000000e+01   5.1861683e+04   1.2546788e+04
   1.9000000e+01   9.5519363e+04   3.6664748e+04
   2.0000000e+01   1.9702168e+04   1.9005158e+04
   2.1000000e+01  -4.2770165e+04  -2.4004506e+04
   2.2000000e+01   1.2888117e+03  -6.7299256e+04
   2.3000000e+01   2.2962317e+04  -6.7360966e+04
   2.4000000e+01  -3.8448478e+04  -9.9827288e+03
   2.5000000e+01  -4.3103411e+04   4.1044322e+04
   2.6000000e+01   4.2306254e+04   3.2751990e+04
   2.7000000e+01   6.4453917e+04  -1.0199625e+04
   2.8000000e+01  -1.9957166e+04  -4.9100305e+04
   2.9000000e+01  -7.1802656e+04  -7.5607048e+04
   3.0000000e+01   9.7691135e+02  -6.9714909e+04
   3.1000000e+01   9.5023099e+04  -1.7365650e+04
   3.2000000e+01   5.3357240e+04   4.6670003e+04
   3.3000000e+01  -5.7616798e+04   6.8229296e+04
   3.4000000e+01  -5.4730072e+04   4.2517929e+03
   3.5000000e+01   2.4687608e+04  -1.0211311e+05
   3.6000000e+01   2.6504404e+04  -1.1885539e+05
   3.7000000e+01  -3.4174738e+04  -8.8483903e+03
   3.8000000e+01  -5.1248835e+04   1.0613852e+05
   3.9000000e+01  -2.3397320e+04   8.9387183e+04
   4.0000000e+01  -6.6316227e+03  -5.0428009e+04
   4.1000000e+01  -1.5304446e+03  -1.3802176e+05
   4.2000000e+01  -1.8251633e+03  -6.4790345e+04
   4.3000000e+01  -4.4182870e+04   4.6350848e+04
   4.4000000e+01  -1.0469274e+05   5.6333811e+04
   4.5000000e+01  -6.3645432e+04   1.3333840e+03
   4.6000000e+01   6.7495800e+04  -3.3321007e+04
   4.7000000e+01   9.5857698e+04  -3.4123686e+04
   4.8000000e+01  -1.3773440e+04  -2.1722253e+04
   4.9000000e+01  -9.3428345e+04  -9.8830763e+03
   5.0000000e+01  -6.8832619e+04  -7.3656873e+02
   5.1000000e+01   1.3021083e+03   1.0186478e+04
   5.2000000e+01   3.8846014e+04   1.6406443e+04
   5.3000000e+01   8.8560324e+03  -1.9188365e+03
   5.4000000e+01  -3.4470652e+04  -2.2911579e+04
   5.5000000e+01  -2.8577631e+04   1.8163828e+03
   5.6000000e+01  -5.6995505e+03   3.1388286e+04
