   1.0274000e+02   2.5123000e+01
   9.1150000e+01   2.9700000e+01
   0.0000000e+00  -4.9161402e+04  -4.9161402e+04
   1.0000000e+00  -7.8708098e+04   8.7869605e+03
   2.0000000e+00  -3.4065397e+04   2.7576442e+04
   3.0000000e+00   3.3771205e+04   6.1168878e+03
   4.0000000e+00   4.5339575e+04  -1.2712561e+04
   5.0000000e+00  -1.4567477e+03  -3.1703039e+04
   6.0000000e+00  -3.7273361e+04  -3.4779788e+04
   7.0000000e+00  -2.0647284e+04   1.3891153e+04
   8.0000000e+00  -5.0330641e+03   3.8044235e+04
   9.0000000e+00  -5.1599490e+03  -6.6197100e+03
   1.0000000e+01   2.6694676e+04  -3.1888265e+04
   1.1000000e+01   4.7869853e+04   5.2527693e+03
   1.2000000e+01   8.9643014e+03   5.0055785e+04
   1.3000000e+01  -3.6165150e+04   5.1863677e+04
   1.4000000e+01  -3.1894423e+04   1.8807495e+04
   1.5000000e+01  -5.1140368e+03  -2.6401027e+04
   1.6000000e+01  -3.1443949e+03  -5.7385438e+04
   1.7000000e+01  -1.6723231e+04  -3.3966153e+04
   1.8000000e+01  -1.6229633e+04   2.3289456e+04
   1.9000000e+01   1.0771741e+04   4.6894983e+04
   2.0000000e+01   3.1554638e+04   9.1855553e+03
   2.1000000e+01   5.6234570e+02  -4.8273951e+04
   2.2000000e+01  -4.4799210e+04  -5.4044234e+04
   2.3000000e+01  -5.6508116e+04  -6.6955376e+03
   2.4000000e+01  -2.7298439e+04   2.7530471e+04
   2.5000000e+01   4.7884760e+04   2.4790414e+04
   2.6000000e+01   1.0705400e+05   2.3017743e+04
   2.7000000e+01   6.1354149e+04   2.6292802e+04
   2.8000000e+01  -5.1527122e+04   9.0345985e+03
   2.9000000e+01  -9.0399957e+04   3.4792840e+03
   3.0000000e+01  -2.0741135e+04   1.8465857e+04
   3.1000000e+01   4.8908633e+04   5.4272715e+03
   3.2000000e+01   6.7846723e+04  -1.7639300e+04
   3.3000000e+01   4.9107736e+04  -3.4214822e+02
   3.4000000e+01  -1.4543389e+04   2.9624778e+04
   3.5000000e+01  -7.1667214e+04   1.5148354e+04
   3.6000000e+01  -4.6623982e+04  -2.3102087e+04
   3.7000000e+01   2.4056311e+04  -2.8655864e+04
   3.8000000e+01   4.7750314e+04  -5.1244355e+03
   3.9000000e+01   2.2865378e+04   1.4629333e+04
   4.0000000e+01  -2.0740830e+03   1.8091605e+04
   4.1000000e+01  -1.5840111e+04   1.9781813e+04
   4.2000000e+01  -6.6127481e+03   1.5851192e+04
   4.3000000e+01   2.2030320e+04  -1.6818405e+04
   4.4000000e+01   2.4541392e+04  -3.5585611e+04
   4.5000000e+01  -1.0917867e+04  -4.4841354e+03
   4.6000000e+01  -3.1499144e+04   3.3532842e+04
   4.7000000e+01  -2.2728360e+03   3.9580117e+04
   4.8000000e+01   4.0655753e+04   6.5789550e+03
   4.9000000e+01   5.0004566e+04  -3.6410606e+04
   5.0000000e+01   4.9756842e+03  -3.8990763e+04
   5.1000000e+01  -5.9257320e+04   2.7554300e+03
   5.2000000e+01  -4.7818718e+04   3.4878109e+04
   5.3000000e+01   4.7337072e+04   2.3678358e+04
   5.4000000e+01   9.8066579e+04   1.5340726e+03
   5.5000000e+01   2.4047857e+04  -6.2948382e+03
   5.6000000e+01  -6.5384074e+04   2.2742060e+02
   5.7000000e+01  -3.5977065e+04   1.1828247e+04
   5.8000000e+01   4.6022651e+04   2.4097296e+03
   5.9000000e+01   5.5481291e+04  -8.0604883e+03
   6.0000000e+01  -7.9332495e+03   7.2533968e+03
   6.1000000e+01  -6.1257791e+04   2.2330690e+04
   6.2000000e+01  -2.2628182e+04   1.2947697e+04
   6.3000000e+01   6.0838700e+04  -2.0346987e+04
   6.4000000e+01   6.2287319e+04  -3.9019233e+04
   6.5000000e+01  -1.2592168e+04  -1.1899596e+04
   6.6000000e+01  -5.3205503e+04   2.4034033e+04
   6.7000000e+01  -2.5994215e+04   2.1720267e+04
   6.8000000e+01   9.2605650e+03  -1.2363838e+04
   6.9000000e+01   1.9328922e+04  -3.3016228e+04
   7.0000000e+01   3.7296705e+03  -2.6687640e+04
   7.1000000e+01  -2.4742403e+04  -1.2055965e+04
   7.2000000e+01  -1.5776965e+04   9.9411633e+03
   7.3000000e+01   1.5837929e+04   3.1000447e+04
   7.4000000e+01  -2.5827301e+03   2.1382810e+04
   7.5000000e+01  -5.5275082e+04  -2.2198647e+04
   7.6000000e+01  -5.7379694e+04  -3.8885949e+04
   7.7000000e+01   8.1955765e+03   1.4740003e+03
   7.8000000e+01   3.9724468e+04   3.3983038e+04
   7.9000000e+01  -1.8570786e+04   2.7861034e+04
