   1.0274000e+02   2.5123000e+01
   1.0022070e+02   2.9992100e+01
   0.0000000e+00  -1.4017471e+05  -1.4017471e+05
   1.0000000e+00  -1.8439691e+05   3.4686376e+03
   2.0000000e+00  -6.0852679e+04   1.0817177e+05
   3.0000000e+00   8.9944050e+04   9.7546942e+04
   4.0000000e+00   9.8906519e+04  -1.0195750e+04
   5.0000000e+00   4.1669116e+03  -8.2130510e+04
   6.0000000e+00  -6.3487061e+04  -3.8731405e+04
   7.0000000e+00  -5.5869098e+04   2.8267568e+04
   8.0000000e+00  -2.5245309e+04   6.0135526e+04
   9.0000000e+00  -2.4849780e+04   5.3230638e+04
   1.0000000e+01   4.2880476e+03  -3.3091574e+04
   1.1000000e+01   6.8903275e+04  -1.1580191e+05
   1.2000000e+01   6.9191013e+04  -5.5450821e+04
   1.3000000e+01   4.2277317e+04   7.4719754e+04
   1.4000000e+01   4.6884278e+04   7.7244326e+04
   1.5000000e+01  -2.8831354e+04  -5.7931064e+04
   1.6000000e+01  -1.6595526e+05  -1.2860592e+05
   1.7000000e+01  -1.1038472e+05  -3.5921803e+04
   1.8000000e+01   1.0108444e+05   8.4701650e+04
   1.9000000e+01   1.2947183e+05   1.0182193e+05
   2.0000000e+01   3.3810614e+04   3.8878970e+04
   2.1000000e+01   4.6693279e+04  -3.9819805e+04
   2.2000000e+01  -4.1539026e+03  -8.0478767e+04
   2.3000000e+01  -1.6614552e+05  -2.1038187e+04
   2.4000000e+01  -1.4259505e+05   8.0581154e+04
   2.5000000e+01   8.4957873e+04   9.6224714e+04
   2.6000000e+01   2.3460288e+05   3.1225741e+04
   2.7000000e+01   1.4589165e+05  -5.7508050e+04
   2.8000000e+01  -9.4018224e+04  -1.1884745e+05
   2.9000000e+01  -2.3386757e+05  -6.3840152e+04
   3.0000000e+01  -1.1430738e+05   5.8738167e+04
   3.1000000e+01   9.6968923e+04   7.6366092e+04
   3.2000000e+01   1.3414874e+05  -2.9201945e+03
   3.3000000e+01   5.2616405e+04  -3.0841846e+04
   3.4000000e+01   6.0575854e+04  -2.0057849e+03
   3.5000000e+01   7.5212735e+04  -1.8596981e+03
   3.6000000e+01  -7.6798386e+04  -3.5128827e+04
   3.7000000e+01  -2.1527975e+05  -3.3685362e+04
   3.8000000e+01  -6.3642267e+04   4.7344736e+04
   3.9000000e+01   2.1600598e+05   9.7188150e+04
   4.0000000e+01   2.2957296e+05   5.2856278e+03
   4.1000000e+01  -2.3216613e+04  -9.0023996e+04
   4.2000000e+01  -1.9251228e+05  -5.0043917e+04
   4.3000000e+01  -1.2429380e+05   3.7431626e+04
   4.4000000e+01   4.2269852e+04   5.9015402e+04
   4.5000000e+01   1.4792310e+05   1.6311129e+04
